psfMag_r	fiberMag_r	fiber2Mag_r	petroMag_r	deVMag_r	expMag_r	modelMag_r	cModelMag_r	class
18.19517	18.20457	18.83432	17.15248	17.04478	17.31943	17.04478	17.0764	b'GALAXY'
20.29459	20.59676	21.06629	20.27966	20.27618	20.2761	20.27618	20.27618	b'STAR'
19.58634	19.4045	20.13388	17.72732	17.19116	17.66021	17.6602	17.65971	b'GALAXY'
18.2929	18.30294	18.92479	17.24109	17.12358	17.414	17.12355	17.13965	b'GALAXY'
18.46543	18.40749	19.03873	17.68889	17.56231	17.76112	17.76114	17.63481	b'GALAXY'
18.11049	18.14788	18.76754	16.76092	16.7671	17.18541	16.76708	16.7671	b'GALAXY'
18.44992	18.412	19.06445	17.10359	16.93497	17.27512	16.93497	17.01024	b'GALAXY'
19.75956	19.47794	20.21705	17.88939	17.3459	17.85891	17.85891	17.85868	b'GALAXY'
15.14037	15.43641	15.9103	15.1753	15.13445	15.13445	15.13445	15.13445	b'STAR'
18.2367	18.11489	18.78015	16.67228	16.46193	16.84606	16.46189	16.53447	b'GALAXY'
18.48137	18.29968	18.98954	16.74962	16.46004	16.88664	16.46004	16.63942	b'GALAXY'
18.85425	18.66976	19.35619	17.52423	17.20164	17.51735	17.51735	17.46685	b'GALAXY'
18.75848	18.53584	19.26219	16.97829	16.5965	16.94642	16.94641	16.94642	b'GALAXY'
17.99841	18.29485	18.76215	18.03624	17.98713	17.98717	17.98717	17.98717	b'STAR'
18.25034	18.10623	18.79654	16.32689	16.05086	16.45456	16.05086	16.22131	b'GALAXY'
18.80997	18.66294	19.34812	17.515	17.25292	17.54033	17.54033	17.50166	b'GALAXY'
18.56959	18.57641	19.18152	17.84769	17.69587	17.91377	17.69585	17.73892	b'GALAXY'
21.11774	21.41216	21.87145	21.24137	21.10012	21.09751	21.09748	21.09751	b'STAR'
17.80675	17.83965	18.44756	16.86024	16.75961	16.98679	16.75961	16.77123	b'GALAXY'
19.58401	19.35507	20.11625	17.63319	17.16039	17.61443	17.61443	17.61443	b'GALAXY'
17.42323	17.46013	18.07442	16.06238	16.00919	16.33634	16.00919	16.00919	b'GALAXY'
18.13271	18.17675	18.78779	17.05885	16.92463	17.22081	16.92463	16.93141	b'GALAXY'
17.92694	17.70067	18.44407	15.65414	15.38715	15.66045	15.66043	15.64666	b'GALAXY'
18.42875	18.44001	19.0625	17.56153	17.4391	17.64891	17.64888	17.51967	b'GALAXY'
19.22728	19.05956	19.7734	17.44803	17.05454	17.4492	17.4492	17.41003	b'GALAXY'
19.50163	19.27086	20.02045	17.35565	16.79499	17.33188	17.33188	17.3176	b'GALAXY'
16.95683	16.92867	17.57798	15.11404	15.03724	15.41882	15.03724	15.03724	b'GALAXY'
21.49186	21.46189	22.08248	20.69447	20.53838	20.86093	20.53838	20.53838	b'GALAXY'
18.43021	18.35839	19.02217	16.92513	16.70964	17.06902	16.70961	16.79825	b'GALAXY'
